date,text,impact
2019/8/23,"中国对美国750亿进口商品加征关税, 美国再度升级关税税率",orange
2019/8/20,美国宣布延长华为禁售令宽限期,orange
2019/8/14,美国延期加征部分3000亿中国商品关税,green
2019/8/6,美国将中国列入汇率操纵国,orange
2019/8/2,特朗普公开发言2019/9/1开始对剩余3000亿中国商品加征10%关税,orange
2019/7/30,第十二轮贸易谈判,green
2019/6/29,川习会(G20)美国暂停新增关税，中美重启协商,green
2019/6/15,美国正式调高关税,orange
2019/5/21,美国给予华为90天“宽限期”,green
2019/5/16,特朗普签属行政命令，封杀华为,orange
2019/5/13,中国反制关税,orange
2019/5/10,第十一轮贸易谈判、美国调高关税,orange
2019/5/6,特朗普公开发言拟增加对中国课征关税,orange
2019/5/1,第十轮贸易谈判,green
2019/4/10,中美双方同意设立贸易协议执行办公室,green
2019/4/4,第九轮中美贸易谈判,green
2019/4/1,中国再度延长对美汽车关税宽限期,green
2019/3/29,第八轮中美贸易谈判，取得新的进展,green
2019/3/5,美国无限期延长新增关税期限,green
2019/2/24,第七轮中美贸易谈判，双方取得重大进展,green
2019/2/15,持续 第六轮中美贸易谈判，会后发布谅解备忘录,green
2019/1/31,第六轮中美贸易谈判,green
2019/1/9,第五轮中美贸易谈判，会谈内容积极,green
2018/12/14,中国暂停征美国汽车关税,green
2018/12/1,G20“川习会”双方取得重大进展,green
2018/11/19,美国拟定14大类技术出口管制框架,orange
2018/10/25,中美贸易代表准备在“川习会”期间重启谈判,green
2018/9/24,美国宣布对中国第三阶段关税于2019年起生效，中方反制,orange
2018/9/22,中国取消与美国的贸易谈判,orange
2018/9/18,中国宣布对美600亿商品关税实施,orange
2018/9/17,美国贸易办公室公布对中2000亿商品关税实施,orange
2018/8/23,第二阶段关税正式生效、第四轮谈判无果,orange
2018/8/8,中国公布对美第二阶段关税将同步生效,orange
2018/8/7,美公布对中第二阶段关税将于8/23生效,orange
2018/8/3,中国公布对美600亿关税清单,orange
2018/8/1,美国研拟调高关税并对中国实施出口管制,orange
2018/7/10,美国贸易办公室公布2000亿关税清单,orange
2018/7/6,中美第一阶段关税正式生效,orange
2018/6/15,美国贸易办公室公布对中关税清单,orange
2018/6/2,中美第三轮谈判,green
2018/5/29,白宫声明将对中国商品课税,orange
2018/5/19,中美第二轮谈判后于5月19日双方声明同意采取措施减小贸易逆差,green
2018/5/3,中美第一轮谈判,green
2018/4/16,美国禁止企业出售零组件给中兴,orange
2018/4/4,中国公布对美关税建议清单,orange
2018/4/3,美国公布对中关税建议清单,orange
2018/3/22,特朗普签署‘中国经济侵略’备忘录,orange